Ahmed,ˈɑːx.mɛd,,['proper noun']
Aida,aˈi.da,,['proper noun']
Ainu,ˈaɪnuː,,['proper noun']
Airedale,ˈɛːdeɪl,,['proper noun']
Aisha,aɪˈiːʃə,,['proper noun']
Ajax,ˈeɪ.dʒæks,,['proper noun']
Akita,a.ˈki.tɐ,,['proper noun']
Akkad,ˈæˌkæd,,['proper noun']
Al,æl,,['proper noun']
Ala,ala,,['proper noun']
Alabama,ˌæ.lə.ˈbæ.mə,,['proper noun']
Alabamian,ˌæləˈbæmi.ən,,['proper noun']
Aladdin,əˈlædɪn,,['proper noun']
Alamo,ˈæləˌmoʊ,,['proper noun']
Alan,ˈæl.ən,,['proper noun']
Alana,aˈla.na,,['proper noun']
Alaric,ə.ləˈɾik,,['proper noun']
Alaska,əˈlæs.kə,,['proper noun']
Alaskan,əˈlæskən,,['proper noun']
Alba,ˈɑlbə,,['proper noun']
Albania,ælˈbeɪ.ni.ə,,['proper noun']
Albanian,ælˈbeɪ.ni.ən,,['proper noun']
Albany,ˈɔːl.bə.ni,,['proper noun']
Albert,ˈæl.bɚt,,['proper noun']
Alberta,ˌælˈbɜː(ɹ).tə,,['proper noun']
Alberto,alˈberto,,['proper noun']
Albion,ˈælbi.ən,,['proper noun']
Albireo,albiˈɾeo,,['proper noun']
Albuquerque,ˈæl.bə.ˌkəɹ.ki,,['proper noun']
Alcatraz,ˈælkətɹæz,,['proper noun']
Alcibiades,ˌælsəˈbaɪədiz,,['proper noun']
Alcmena,ælkˈmiːnə,,['proper noun']
Alcyone,ælˈsaɪ.əˌni,,['proper noun']
Aldebaran,alˈdɛbəɹən,,['proper noun']
Aldo,ˈal.do,,['proper noun']
Alec,ˈælɪk,,['proper noun']
Alejandra,aleˈxandɾa,,['proper noun']
Alejandro,ˌalɪˈhandɹəʊ,,['proper noun']
Aleppo,əˈlɛpəʊ,,['proper noun']
Aleut,ˌæ.liːˈuːt,,['proper noun']
Aleutian,ˌæ.liːˈuːʃən,,['proper noun']
Alex,ˈæ.lɪks,,['proper noun']
Alexander,ˌæ.lɨɡˈzæn.dɚ,,['proper noun']
Alexanders,ˌælɨɡˈzændɚz,,['proper noun']
Alexandra,ˈalɛksandra,,['proper noun']
Alexandria,æləkˈzændɹi.ə,,['proper noun']
Alexandrian,æl.ɛɡˈzæn.dɹiː.ən,,['proper noun']
Alexis,ɛksɪ,,['proper noun']
Alfonso,ɒnsə,,['proper noun']
