Aurèle,o.ʁel,m,['nom propre']
Aymon,e.mɔ̃,m,['nom propre']
Barnabé,baʁ.na.be,m,['nom propre']
Barthélemy,baʁ.te.le.mi,m,['nom propre']
Basile,ba.zil,m,['nom propre']
Bastien,bas.tjɛ̃,m,['nom propre']
Béranger,be.ʁɑ̃.ʒe,m,['nom propre']
Bon,ba.ta.jɔ̃,m,['nom propre']
Boniface,bɔ.ni.fas,m,['nom propre']
Bouchard,bu.ʃaʁ,m,['nom propre']
Brice,bʁis,m,['nom propre']
Brieuc,bʁi.jø,m,['nom propre']
Calixte,ka.likst,m,['nom propre']
Candide,kɑ̃.did,m,['nom propre']
Cassandre,ka.sɑ̃dʁ,f,['nom propre']
Céleste,se.lɛst,m,['nom propre']
Césaire,se.zɛʁ,m,['nom propre']
Chrétien,kʁe.tjɛ̃,m,['nom propre']
Claudien,klo.djɛ̃,m,['nom propre']
Clotaire,klo.tɛʁ,m,['nom propre']
Côme,koːm,m,['nom propre']
Constance,kɔ̃s.tɑ̃s,f,['nom propre']
Constant,kɔ̃s.tɑ̃,m,['nom propre']
Constantin,kɔ̃s.tɑ̃.tɛ̃,m,['nom propre']
Cyriaque,si.ʁjak,,['nom propre']
Cyrille,si.ʁil,m,['nom propre']
Dagobert,da.gɔ.bɛʁ,m,['nom propre']
Désiré,de.zi.ʁe,m,['nom propre']
Didier,di.dje,m,['nom propre']
Dieudonné,djø.dɔ.ne,m,['nom propre']
Esprit,ɛs.pʁi,m,['nom propre']
Eustache,øs.taʃ,m,['nom propre']
Évariste,e.va.ʁist,m,['nom propre']
Évrard,ev.ʁaʁ,m,['nom propre']
Firmin,fiʁ.mɛ̃,m,['nom propre']
Flavien,fla.vjɛ̃,m,['nom propre']
Florentin,flɔ.ʁɑ̃.tɛ̃,m,['nom propre']
Fortuné,fɔʁ.ty.ne,m,['nom propre']
Fulgence,fyl.ʒɑ̃s,m,['nom propre']
Gautier,ɡo.tje,m,['nom propre']
Gédéon,ʒe.de.ɔ̃,m,['nom propre']
Geoffroy,ʒɔ.fʁwa,m,['nom propre']
Géraud,ʒe.ʁo,m,['nom propre']
Gontran,ɡɔ̃.tʁɑ̃,m,['nom propre']
Gonzague,ɡɔ̃.zaɡ,m,['nom propre']
Guérin,ɡe.ʁɛ̃,,['nom propre']
Guyot,ɡɥi.o,,['nom propre']
Gwenael,ɡwe.ˈna.ɛl,m,['nom propre']
Hélie,e.li,m,['nom propre']
Herbert,ɛʁ.bɛʁ,m,['nom propre']
Hilaire,i.lɛʁ,m,['nom propre']
Isabeau,i.za.bo,m,['nom propre']
Isidore,i.zi.dɔʁ,m,['nom propre']
Jean-Daniel,ʒɑ̃.da.njɛl,m,['nom propre']
Josselin,ʒo.se.lɛ̃,m,['nom propre']
Jourdain,ʒuʁ.dɛ̃,m,['nom propre']
Lambert,lɑ̃.bɛʁ,m,['nom propre']
Landry,lɑ̃.dʁi,m,['nom propre']
