a,ɑː,,"['conjunction', 'interjection', 'adverb', 'preposition', 'letter', 'noun', 'adjective', 'verb', 'pronoun']"
abound,əˈbaʊnd,,['verb']
abounding,əˈbaʊndɪŋ,,"['verb', 'adjective', 'noun']"
about,əˈ baʊt,,"['adverb', 'preposition', 'adjective', 'noun']"
above,əˈbʌv,,"['adverb', 'preposition', 'adjective', 'noun']"
abracadabra,ˌabɹəkəˈdabɹə,,"['interjection', 'noun']"
abrade,əˈbɹeɪd,,['verb']
abrasion,əˈbɹeɪʒn̩,,['noun']
abrasive,əˈbɹeɪsɪv,,"['adjective', 'noun']"
abrasively,əˈbɹeɪsɪvli,,['adverb']
abreast,əˈbɹɛst,,"['adverb', 'preposition', 'adjective']"
abridge,əˈbɹɪd͡ʒ,,['verb']
abridged,əˈbɹɪdʒd,,"['adjective', 'verb']"
abridges,əˈbɹɪdʒɪz,,['verb']
abridging,əˈbɹɪdʒɪŋ,,['verb']
abridgment,əˈbɹɪd͡ʒmn̩t,,['noun']
abroad,əˈbɹɔːd,,"['adverb', 'preposition', 'noun']"
abrogate,ˈæbɹəɡət,,"['adjective', 'verb']"
abrogation,ˌæbɹəˈɡeɪʃn̩,,['noun']
abrogator,ˈæbɹəˌɡeɪtɚ,,"['verb', 'noun']"
abrupt,əˈbɹʌpt,,"['adverb', 'verb', 'adjective', 'noun']"
abruptly,əˈbɹʌpli,,['adverb']
abruptness,əˈbɹʌpnəs,,['noun']
abs,æbz,,"['interjection', 'verb', 'adjective', 'noun']"
abscess,ˈæbsɛs,,"['verb', 'noun']"
abscissa,æbˈsɪsə,,['noun']
abscission,æbˈsɪʃn̩,,['noun']
abscond,əbˈskɒnd,,['verb']
absconder,æbˈskɑndɚ,,"['verb', 'noun']"
abseil,ˈæbseɪl,,"['verb', 'noun']"
absence,ˈæbs(ə)n̩s,,['noun']
absent,ˈæbsn̩t,,"['preposition', 'verb', 'adjective', 'noun']"
absentee,ˌæbsn̩ˈti,,"['adjective', 'noun']"
absenteeism,æbsənˈtiːˌɪzm̩,,['noun']
absently,ˈæbsn̩tli,,['adverb']
absents,əpˈsens,,"['adjective', 'verb']"
absinthe,ˈæbsɪnθ,,['noun']
absolute,ˈæbsəˌluːt,,"['adverb', 'adjective', 'noun']"
absolutely,æbsəˈl(j)uːtlɪ,,"['adverb', 'interjection']"
absoluteness,ˈabsəluːtnəs,,['noun']
absolution,æbsəˈljuːʃn̩,,['noun']
absolutism,ˈæbsəluːtɪzm̩,,['noun']
absolutist,ˈæbsəˌluːtɪst,,"['adjective', 'noun']"
absolve,əbˈzɒlv,,['verb']
absorb,əbˈzɔːb,,['verb']
absorbance,əbˈsɔɹbn̩s,,['noun']
absorbed,æbˈsɔɹbd,,"['adjective', 'verb']"
